ELEVATION,Long,Lat
45,-122.3940,37.73724
40,-122.3966,37.73744
225,-122.4486,37.73747
20,-122.4993,37.73749
-5,-122.3958,37.73751
300,-122.4994,37.73755
5,-122.4255,37.73757
160,-122.4261,37.73758
100,-122.4324,37.73765
145,-122.4201,37.73766
-5,-122.4252,37.73768
185,-122.4447,37.73770
60,-122.4459,37.73775
5,-122.4318,37.73777
0,-122.4180,37.73779
0,-122.4412,37.73780
140,-122.4301,37.73781
30,-122.3830,37.73788
200,-122.4193,37.73791
25,-122.3980,37.73794
180,-122.3946,37.73802
-5,-122.4048,37.73805
60,-122.4157,37.73807
20,-122.5019,37.73811
185,-122.3909,37.73812
5,-122.4253,37.73816
250,-122.4506,37.73822
290,-122.4980,37.73827
10,-122.4049,37.73828
70,-122.4354,37.73837
75,-122.5055,37.73841
35,-122.3985,37.73845
0,-122.4279,37.73848
95,-122.4325,37.73851
-5,-122.4333,37.73868
0,-122.4036,37.73869
140,-122.4587,37.73874
-5,-122.4356,37.73875
30,-122.5020,37.73881
120,-122.4423,37.73887
195,-122.4175,37.73889
10,-122.4378,37.73890
105,-122.3977,37.73897
20,-122.4060,37.73913
180,-122.4162,37.73922
0,-122.5011,37.73927
0,-122.4552,37.73931
255,-122.4758,37.73932
0,-122.4553,37.73939
0,-122.3959,37.73944
250,-122.4911,37.73949
25,-122.3963,37.73961
10,-122.4302,37.73974
105,-122.4145,37.73978
135,-122.4347,37.73991
260,-122.4759,37.73992
50,-122.5001,37.74005
20,-122.4015,37.74006
130,-122.3978,37.74018
80,-122.4194,37.74029
15,-122.4308,37.74031
65,-122.3817,37.74046
105,-122.4480,37.74061
5,-122.4789,37.74065
160,-122.4698,37.74076
15,-122.4148,37.74080
15,-122.4102,37.74114
10,-122.4588,37.74122
0,-122.5080,37.74126
0,-122.4366,37.74134
0,-122.4326,37.74138
60,-122.4672,37.74143
5,-122.4061,37.74147
115,-122.4071,37.74149
190,-122.4361,37.74154
165,-122.4032,37.74167
-5,-122.4062,37.74177
40,-122.4056,37.74178
0,-122.4057,37.74183
75,-122.4077,37.74187
5,-122.4790,37.74198
175,-122.4340,37.74227
-5,-122.4117,37.74230
25,-122.4133,37.74232
170,-122.4134,37.74235
140,-122.4123,37.74237
0,-122.4126,37.74238
70,-122.4127,37.74241
245,-122.4760,37.74273
15,-122.4108,37.74280
10,-122.4945,37.74302
75,-122.4946,37.74303
65,-122.4958,37.74304
135,-122.4499,37.74313
0,-122.4103,37.74317
240,-122.4460,37.74321
310,-122.4937,37.74324
0,-122.4591,37.74326
5,-122.4656,37.74336
10,-122.4118,37.74344
85,-122.3968,37.74345
70,-122.4694,37.74368
40,-122.4947,37.74401
150,-122.4343,37.74408
-5,-122.4037,37.74418
10,-122.4319,37.74421
5,-122.4050,37.74425
10,-122.4473,37.74451
115,-122.4293,37.74458
100,-122.4666,37.74461
0,-122.4273,37.74462
35,-122.4704,37.74471
-5,-122.4357,37.74472
40,-122.4188,37.74475
5,-122.3975,37.74478
285,-122.4981,37.74480
30,-122.4633,37.74484
55,-122.4970,37.74503
175,-122.4437,37.74507
20,-122.4492,37.74512
240,-122.4369,37.74515
25,-122.4938,37.74517
155,-122.3951,37.74541
190,-122.4176,37.74549
0,-122.4033,37.74561
200,-122.4408,37.74562
35,-122.4920,37.74580
60,-122.5002,37.74589
10,-122.5091,37.74592
130,-122.3997,37.74600
30,-122.4939,37.74619
50,-122.4153,37.74622
115,-122.4487,37.74635
40,-122.4160,37.74636
0,-122.4921,37.74662
255,-122.4922,37.74664
80,-122.4928,37.74667
10,-122.4657,37.74670
30,-122.4699,37.74673
35,-122.4154,37.74675
5,-122.4554,37.74682
-5,-122.4507,37.74684
5,-122.4265,37.74690
0,-122.4386,37.74694
70,-122.4128,37.74708
160,-122.4500,37.74752
35,-122.4501,37.74757
5,-122.4905,37.74768
260,-122.4912,37.74770
0,-122.4685,37.74778
30,-122.5129,37.74785
320,-122.4880,37.74788
180,-122.4555,37.74789
405,-122.4913,37.74794
110,-122.5043,37.74795
10,-122.4914,37.74798
10,-122.4673,37.74829
-5,-122.4379,37.74838
25,-122.4481,37.74855
5,-122.4889,37.74866
55,-122.4906,37.74871
0,-122.4018,37.74872
-5,-122.4929,37.74895
445,-122.5081,37.74899
55,-122.5130,37.74903
20,-122.5149,37.74942
235,-122.4907,37.74947
-10,-122.4863,37.74968
30,-122.4890,37.74972
0,-122.4791,37.74994
365,-122.4869,37.75014
-5,-122.4482,37.75035
420,-122.5069,37.75061
30,-122.4705,37.75065
0,-122.4821,37.75077
440,-122.5082,37.75083
0,-122.4038,37.75112
80,-122.4431,37.75113
25,-122.4891,37.75116
40,-122.4899,37.75119
385,-122.4857,37.75124
165,-122.4320,37.75125
50,-122.4634,37.75136
0,-122.4785,37.75142
45,-122.4837,37.75149
200,-122.5092,37.75175
430,-122.5070,37.75176
5,-122.4900,37.75184
220,-122.5093,37.75185
450,-122.5110,37.75186
45,-122.5056,37.75207
375,-122.4923,37.75208
5,-122.4288,37.75209
35,-122.5003,37.75212
20,-122.4940,37.75215
5,-122.4941,37.75227
75,-122.5063,37.75242
5,-122.4822,37.75243
25,-122.4971,37.75249
225,-122.4948,37.75290
370,-122.4870,37.75300
30,-122.5004,37.75301
-5,-122.4313,37.75312
160,-122.4323,37.75317
375,-122.4871,37.75319
-5,-122.4709,37.75322
30,-122.4803,37.75336
85,-122.4809,37.75337
35,-122.4710,37.75338
40,-122.4742,37.75340
10,-122.4314,37.75347
10,-122.4949,37.75353
40,-122.4963,37.75354
15,-122.4823,37.75361
85,-122.4743,37.75362
45,-122.4942,37.75366
35,-122.4539,37.75371
0,-122.4391,37.75372
10,-122.4915,37.75373
5,-122.4950,37.75376
10,-122.4901,37.75379
270,-122.4924,37.75380
0,-122.4677,37.75384
20,-122.5005,37.75389
315,-122.4930,37.75392
15,-122.4902,37.75395
25,-122.5012,37.75397
75,-122.5044,37.75420
205,-122.4544,37.75429
175,-122.4309,37.75439
35,-122.5006,37.75448
50,-122.4987,37.75459
75,-122.4972,37.75471
85,-122.5021,37.75483
70,-122.4959,37.75486
65,-122.4872,37.75496
10,-122.4674,37.75501
100,-122.5022,37.75504
10,-122.4247,37.75520
140,-122.5094,37.75521
75,-122.4925,37.75532
0,-122.4545,37.75546
5,-122.4838,37.75548
130,-122.4248,37.75558
25,-122.4249,37.75568
-10,-122.4625,37.75575
10,-122.4254,37.75594
0,-122.4831,37.75598
80,-122.5140,37.75613
15,-122.4832,37.75618
135,-122.5083,37.75621
100,-122.5150,37.75625
95,-122.5155,37.75626
145,-122.5172,37.75627
10,-122.5084,37.75628
280,-122.4982,37.75643
55,-122.4605,37.75647
195,-122.4387,37.75652
5,-122.5131,37.75660
25,-122.4362,37.75678
75,-122.4370,37.75684
105,-122.4397,37.75686
65,-122.4331,37.75689
0,-122.5057,37.75693
255,-122.4388,37.75694
-5,-122.4381,37.75695
0,-122.5045,37.75704
15,-122.5173,37.75711
130,-122.5156,37.75715
0,-122.4644,37.75725
30,-122.4574,37.75729
90,-122.5058,37.75730
115,-122.5157,37.75735
0,-122.4839,37.75745
75,-122.4678,37.75746
95,-122.5132,37.75748
80,-122.5023,37.75749
230,-122.4441,37.75763
245,-122.4371,37.75764
20,-122.5095,37.75765
5,-122.4335,37.75769
145,-122.5111,37.75777
100,-122.4840,37.75780
25,-122.4529,37.75786
25,-122.4810,37.75788
215,-122.4442,37.75791
0,-122.4540,37.75802
30,-122.4556,37.75811
105,-122.4960,37.75835
115,-122.4639,37.75851
55,-122.4804,37.75852
80,-122.4995,37.75874
20,-122.5112,37.75875
220,-122.4448,37.75878
225,-122.4449,37.75879
0,-122.4444,37.75880
-5,-122.4575,37.75889
255,-122.4432,37.75890
40,-122.4426,37.75892
-5,-122.4849,37.75897
10,-122.4805,37.75898
5,-122.4474,37.75899
60,-122.4795,37.75901
30,-122.4655,37.75909
90,-122.4606,37.75935
10,-122.4297,37.75942
110,-122.5046,37.75955
10,-122.4461,37.75966
20,-122.4690,37.75969
10,-122.4470,37.75973
220,-122.4749,37.75982
5,-122.4298,37.75987
0,-122.4983,37.75991
5,-122.4951,37.75992
230,-122.4943,37.75994
0,-122.4568,37.75999
75,-122.4961,37.76001
0,-122.4372,37.76006
125,-122.4841,37.76014
0,-122.4488,37.76019
50,-122.4850,37.76020
5,-122.4842,37.76021
0,-122.4811,37.76027
-15,-122.4864,37.76031
10,-122.4667,37.76032
0,-122.4658,37.76033
200,-122.4753,37.76044
50,-122.4988,37.76045
30,-122.4858,37.76047
55,-122.4635,37.76054
60,-122.4851,37.76056
240,-122.4761,37.76068
125,-122.5085,37.76070
5,-122.4336,37.76079
-5,-122.4289,37.76081
50,-122.4796,37.76084
100,-122.5024,37.76085
220,-122.4493,37.76086
15,-122.5096,37.76096
425,-122.5071,37.76099
135,-122.5141,37.76106
225,-122.4295,37.76120
0,-122.4989,37.76130
0,-122.4517,37.76142
160,-122.4518,37.76144
5,-122.4438,37.76146
75,-122.4984,37.76147
10,-122.4892,37.76159
45,-122.4962,37.76160
125,-122.4576,37.76167
0,-122.4952,37.76169
0,-122.4903,37.76170
30,-122.4557,37.76187
40,-122.4998,37.76195
165,-122.5142,37.76201
50,-122.4812,37.76222
0,-122.4865,37.76225
0,-122.4483,37.76226
0,-122.4659,37.76233
60,-122.4626,37.76251
0,-122.4413,37.76261
-5,-122.4541,37.76265
410,-122.4931,37.76267
10,-122.4916,37.76269
0,-122.4873,37.76272
25,-122.4558,37.76274
30,-122.4668,37.76280
35,-122.4908,37.76281
165,-122.4733,37.76283
185,-122.4744,37.76284
325,-122.4881,37.76289
45,-122.4536,37.76314
120,-122.4769,37.76331
15,-122.4462,37.76336
5,-122.4661,37.76344
5,-122.5097,37.76345
50,-122.4662,37.76383
175,-122.4530,37.76391
210,-122.4531,37.76407
65,-122.5047,37.76409
90,-122.4797,37.76422
330,-122.4882,37.76424
170,-122.4532,37.76429
415,-122.5072,37.76433
85,-122.4522,37.76437
15,-122.4471,37.76467
170,-122.5158,37.76476
110,-122.4770,37.76495
10,-122.4932,37.76507
195,-122.4754,37.76511
5,-122.4695,37.76529
230,-122.4450,37.76536
140,-122.4691,37.76562
65,-122.4711,37.76620
15,-122.4648,37.76641
150,-122.4433,37.76653
-5,-122.4427,37.76667
260,-122.4422,37.76694
10,-122.4463,37.76706
0,-122.4403,37.76711
60,-122.4409,37.76748
0,-122.4404,37.76810
40,-122.4645,37.76822
10,-122.4398,37.76843
-5,-122.4399,37.76865
0,-122.4852,37.76880
10,-122.4996,37.76909
0,-122.4405,37.76924
105,-122.5073,37.76959
-5,-122.5048,37.76962
10,-122.4414,37.76994
75,-122.5030,37.77008
15,-122.5086,37.77027
20,-122.5174,37.77058
190,-122.4428,37.77095
5,-122.4434,37.77105
0,-122.4502,37.77146
245,-122.4464,37.77164
0,-122.4456,37.77271
5,-122.4592,37.77332
105,-122.5025,37.77343
0,-122.4792,37.77396
350,-122.4866,37.77405
25,-122.4824,37.77440
0,-122.4721,37.77454
0,-122.4722,37.77477
10,-122.4793,37.77483
335,-122.4883,37.77499
180,-122.4745,37.77503
170,-122.4475,37.77516
75,-122.5007,37.77532
215,-122.4476,37.77597
0,-122.4675,37.77598
50,-122.4990,37.77626
50,-122.4542,37.77629
5,-122.4494,37.77640
55,-122.4973,37.77652
45,-122.4546,37.77662
0,-122.4523,37.77812
20,-122.4495,37.77847
155,-122.4519,37.77904
0,-122.4503,37.77954
250,-122.4746,37.77961
75,-122.4649,37.78029
160,-122.4734,37.78147
190,-122.4537,37.78192
60,-122.5175,37.78206
5,-122.4933,37.78214
5,-122.4909,37.78233
40,-122.4679,37.78279
40,-122.4778,37.78280
0,-122.5064,37.78297
120,-122.4833,37.78305
70,-122.5087,37.78310
0,-122.4874,37.78321
0,-122.4825,37.78393
50,-122.4564,37.78402
45,-122.4964,37.78428
155,-122.4735,37.78437
10,-122.4853,37.78448
20,-122.4926,37.78458
45,-122.4680,37.78459
30,-122.4686,37.78462
40,-122.4547,37.78467
130,-122.4627,37.78473
0,-122.4533,37.78491
20,-122.4771,37.78493
0,-122.4775,37.78502
230,-122.4747,37.78508
15,-122.4997,37.78509
390,-122.5143,37.78511
0,-122.4593,37.78525
115,-122.4712,37.78539
20,-122.4813,37.78541
70,-122.4965,37.78542
25,-122.4814,37.78544
245,-122.4893,37.78545
95,-122.4815,37.78546
180,-122.4559,37.78547
70,-122.4966,37.78548
95,-122.4816,37.78549
100,-122.5031,37.78552
20,-122.4854,37.78553
0,-122.4676,37.78557
130,-122.5059,37.78558
25,-122.4859,37.78560
80,-122.5032,37.78562
5,-122.4860,37.78568
15,-122.5049,37.78571
0,-122.4776,37.78589
55,-122.4565,37.78593
0,-122.4650,37.78609
65,-122.4855,37.78610
0,-122.4786,37.78614
0,-122.4646,37.78629
20,-122.4798,37.78631
-5,-122.5033,37.78640
45,-122.4589,37.78657
85,-122.4934,37.78664
235,-122.4762,37.78668
190,-122.4723,37.78673
90,-122.5088,37.78681
35,-122.4967,37.78684
20,-122.5113,37.78691
90,-122.4974,37.78692
-5,-122.4991,37.78696
15,-122.4777,37.78717
155,-122.4520,37.78721
95,-122.4779,37.78730
160,-122.4780,37.78736
10,-122.4763,37.78738
215,-122.4750,37.78760
150,-122.4736,37.78770
95,-122.4737,37.78772
90,-122.5026,37.78774
90,-122.4738,37.78786
130,-122.4713,37.78794
15,-122.4706,37.78802
0,-122.4508,37.78806
15,-122.5114,37.78807
35,-122.5013,37.78820
205,-122.5034,37.78835
70,-122.5134,37.78846
0,-122.4509,37.78872
0,-122.4548,37.78902
0,-122.4953,37.78909
0,-122.4525,37.78919
70,-122.4935,37.78938
60,-122.4566,37.78941
120,-122.5098,37.78964
0,-122.4724,37.78994
95,-122.4577,37.79002
-5,-122.4725,37.79020
0,-122.5135,37.79031
10,-122.4764,37.79036
145,-122.4692,37.79058
45,-122.4651,37.79076
70,-122.4628,37.79078
65,-122.4636,37.79088
0,-122.4772,37.79095
190,-122.4755,37.79096
30,-122.4681,37.79120
165,-122.4700,37.79142
215,-122.5035,37.79153
340,-122.4884,37.79181
5,-122.4726,37.79190
135,-122.4714,37.79191
155,-122.4715,37.79192
10,-122.4716,37.79206
20,-122.5074,37.79218
95,-122.4975,37.79227
170,-122.4701,37.79257
225,-122.4748,37.79271
100,-122.4817,37.79324
135,-122.5159,37.79381
5,-122.4861,37.79426
45,-122.5115,37.79532
10,-122.5050,37.79542
10,-122.4875,37.79552
395,-122.5144,37.79560
50,-122.5089,37.79573
95,-122.5027,37.79588
70,-122.5099,37.79620
190,-122.3776,37.80765
170,-122.3780,37.80779
20,-122.3759,37.80783
0,-122.3647,37.80785
255,-122.3695,37.80789
160,-122.3680,37.80790
265,-122.3696,37.80791
0,-122.3802,37.80796
110,-122.3804,37.80797
30,-122.3805,37.80799
85,-122.3806,37.80800
5,-122.3807,37.80801
25,-122.3621,37.80802
25,-122.3655,37.80803
35,-122.3742,37.80804
0,-122.3628,37.80806
135,-122.3656,37.80808
280,-122.3722,37.80809
35,-122.3670,37.80812
65,-122.3657,37.80814
55,-122.3808,37.80815
85,-122.3668,37.80821
25,-122.3635,37.80833
0,-122.3818,37.80836
0,-122.3653,37.80843
45,-122.3629,37.80847
55,-122.3638,37.80856
5,-122.3837,37.80863
310,-122.3749,37.80867
0,-122.3831,37.80873
115,-122.3769,37.80876
5,-122.3617,37.80878
200,-122.3770,37.80879
15,-122.3767,37.80882
0,-122.3768,37.80885
200,-122.3754,37.80886
0,-122.3755,37.80887
70,-122.3756,37.80888
240,-122.3757,37.80889
150,-122.3687,37.80890
60,-122.3643,37.80894
80,-122.3688,37.80896
45,-122.3639,37.80897
295,-122.3843,37.80907
20,-122.3683,37.80913
0,-122.3633,37.80915
0,-122.3798,37.80917
90,-122.3898,37.80920
25,-122.3705,37.80923
0,-122.3616,37.80926
175,-122.3710,37.80927
0,-122.3700,37.80932
20,-122.3916,37.80945
35,-122.3630,37.80948
0,-122.3735,37.80951
-5,-122.3736,37.80955
-15,-122.3737,37.80957
125,-122.3651,37.80958
0,-122.3648,37.80959
-10,-122.3738,37.80960
5,-122.3783,37.80964
160,-122.3782,37.80967
50,-122.3870,37.80969
40,-122.3871,37.80970
190,-122.3746,37.80973
285,-122.3882,37.80974
50,-122.3640,37.80981
0,-122.3634,37.80984
0,-122.3649,37.80985
-5,-122.3711,37.80987
35,-122.3901,37.81020
20,-122.3701,37.81023
195,-122.3771,37.81025
85,-122.3899,37.81029
75,-122.3889,37.81031
105,-122.3828,37.81042
265,-122.3809,37.81044
260,-122.3810,37.81051
290,-122.3715,37.81053
70,-122.3905,37.81054
0,-122.3925,37.81055
175,-122.3781,37.81056
50,-122.3716,37.81057
130,-122.3938,37.81058
40,-122.3669,37.81060
65,-122.3845,37.81063
190,-122.3910,37.81064
20,-122.3729,37.81065
10,-122.3900,37.81075
330,-122.3760,37.81076
315,-122.3750,37.81078
235,-122.3743,37.81080
-35,-122.3732,37.81085
5,-122.3631,37.81087
310,-122.3863,37.81094
130,-122.3654,37.81095
15,-122.3872,37.81096
210,-122.3832,37.81099
-5,-122.3873,37.81101
130,-122.3874,37.81103
-5,-122.3820,37.81104
0,-122.3878,37.81105
275,-122.3875,37.81109
0,-122.3689,37.81111
250,-122.3902,37.81113
20,-122.3829,37.81119
0,-122.3761,37.81121
65,-122.3784,37.81129
55,-122.3917,37.81130
130,-122.3674,37.81141
115,-122.3659,37.81143
0,-122.3645,37.81148
55,-122.3906,37.81155
120,-122.3660,37.81156
-25,-122.3739,37.81165
10,-122.3675,37.81176
-20,-122.3740,37.81177
0,-122.3763,37.81178
100,-122.3684,37.81180
0,-122.3730,37.81183
285,-122.3795,37.81186
-40,-122.3733,37.81189
0,-122.3712,37.81190
125,-122.3672,37.81193
180,-122.3697,37.81197
255,-122.3811,37.81198
80,-122.3702,37.81199
35,-122.3626,37.81201
155,-122.3791,37.81202
75,-122.3819,37.81204
0,-122.3850,37.81206
165,-122.3692,37.81211
45,-122.3851,37.81212
75,-122.3663,37.81213
60,-122.3661,37.81216
80,-122.3664,37.81218
275,-122.3812,37.81220
145,-122.3677,37.81226
210,-122.3772,37.81231
110,-122.3658,37.81236
20,-122.3841,37.81239
320,-122.3751,37.81253
270,-122.3813,37.81256
125,-122.3858,37.81258
305,-122.3852,37.81259
120,-122.3859,37.81260
60,-122.3860,37.81261
140,-122.3861,37.81262
110,-122.3853,37.81263
275,-122.3854,37.81264
0,-122.3855,37.81265
135,-122.3856,37.81266
-5,-122.3846,37.81267
0,-122.3847,37.81268
0,-122.3848,37.81269
-5,-122.3618,37.81276
15,-122.3615,37.81286
-5,-122.3706,37.81293
15,-122.3717,37.81296
95,-122.3667,37.81297
-5,-122.3665,37.81299
90,-122.3666,37.81300
170,-122.3924,37.81316
75,-122.3707,37.81318
155,-122.3681,37.81325
15,-122.3907,37.81340
0,-122.3613,37.81347
0,-122.3619,37.81351
55,-122.3612,37.81355
10,-122.3620,37.81360
30,-122.3623,37.81367
105,-122.3879,37.81372
10,-122.3624,37.81373
50,-122.3597,37.81379
-5,-122.3685,37.81380
55,-122.3601,37.81385
80,-122.3890,37.81388
120,-122.3652,37.81390
0,-122.3610,37.81391
75,-122.3891,37.81395
40,-122.3627,37.81408
5,-122.3903,37.81409
115,-122.3886,37.81438
25,-122.3894,37.81457
245,-122.3911,37.81484
65,-122.3607,37.81487
0,-122.3593,37.81493
240,-122.3912,37.81667
235,-122.3913,37.81670
215,-122.3814,37.81702
0,-122.3679,37.81910
50,-122.3880,37.82095
5,-122.3682,37.82185
5,-122.4024,37.82195
120,-122.3964,37.82452
300,-122.3708,37.82481
175,-122.3709,37.82490
5,-122.3799,37.82527
100,-122.3797,37.82529
160,-122.3792,37.82541
35,-122.4119,37.82896
15,-122.4109,37.82974
145,-122.3793,37.83006
5,-122.4016,37.83046
30,-122.4068,37.83065
60,-122.3883,37.83112
135,-122.3982,37.83170
10,-122.3944,37.83185
125,-122.3952,37.83219
105,-122.3962,37.83225